Date,Account,Category,Vendor,Invoice Ref,Memo,Amount,Pool
2025-01-02,6600,Janitorial - Contract,Clean Pro Services Ltd.,CPS-2025-JAN,Monthly janitorial contract — common areas + office suites (excl. Peak Fitness) — Jan 2025,4200,Shared
2025-01-02,6610,Janitorial - Day Porter,Clean Pro Services Ltd.,CPS-DP-2025-JAN,Day porter — retail concourse — Jan 2025,2083,Retail
2025-01-05,6410,R&M - Elevator,Kone Elevator Canada,KONE-2025-JAN,Monthly elevator service contract — Jan 2025,1833,Office
2025-01-05,6700,Security - Patrol,GardaWorld,GW-2025-JAN,Monthly mobile patrol (3 visits/night) — Jan 2025,3000,Shared
2025-01-10,6460,R&M - Storefront Glass,Crystal Clear Window Co.,CCW-2025-JAN,Bi-monthly retail storefront cleaning — Jan 2025,1000,Retail
2025-01-12,6710,Security - Alarm,ADT Commercial,ADT-2025-JAN,Monitored alarm — Jan 2025,500,Shared
2025-01-15,6100,Realty Tax,City of Mississauga,TAX-2025-JAN,Interim billing,35000,Shared
2025-01-15,6200,Insurance,Marsh Canada Ltd.,INS-2025-ANNUAL,FY2025 annual premium (property + GL + B&M + env.),55000,Shared
2025-01-20,6310,Utilities - Electric,Alectra Utilities,ALT-2025-JAN,Common area + base building electric — Jan 2025,9200,Shared
2025-01-22,6320,Utilities - Gas,Enbridge Gas Inc.,ENB-2025-JAN,Common area + base building gas — Jan 2025,9800,Shared
2025-01-28,6500,Management Fee,Gateway Property Management Inc.,GPM-MF-2025-JAN,Mgmt fee — 4% of Jan 2025 gross revenue (see calc schedule),9520,Shared
2025-01-31,6900,Snow & Ice,Snowman Contracting,SNOW-2025-JAN,January 2025 snow plowing + salting (8 events),4800,Shared
2025-02-02,6600,Janitorial - Contract,Clean Pro Services Ltd.,CPS-2025-FEB,Monthly janitorial contract — common areas + office suites (excl. Peak Fitness) — Feb 2025,4200,Shared
2025-02-02,6610,Janitorial - Day Porter,Clean Pro Services Ltd.,CPS-DP-2025-FEB,Day porter — retail concourse — Feb 2025,2083,Retail
2025-02-05,6410,R&M - Elevator,Kone Elevator Canada,KONE-2025-FEB,Monthly elevator service contract — Feb 2025,1833,Office
2025-02-05,6700,Security - Patrol,GardaWorld,GW-2025-FEB,Monthly mobile patrol (3 visits/night) — Feb 2025,3000,Shared
2025-02-12,6710,Security - Alarm,ADT Commercial,ADT-2025-FEB,Monitored alarm — Feb 2025,500,Shared
2025-02-14,6430,R&M - General,Metro Building Services,MRO-2025-0214,Plumbing leak repair - 3rd floor men's washroom,2400,Shared
2025-02-15,6100,Realty Tax,City of Mississauga,TAX-2025-FEB,Interim billing,35000,Shared
